Disease,Medication,Procedure
Cervical spondylosis,"['Triphla','Gugglu','Aloe vera','Mridu Shodhana','Pacifying Herbs ']","[Triphala:
Take 1 teaspoon of Triphala powder.
Mix it with warm water to form a paste.
Consume this paste daily in the morning on an empty stomach.
Guggulu:
Take Guggulu capsules or tablets as prescribed by your Ayurvedic practitioner.
Typically, a dose of 500 mg to 1 gram is recommended twice daily after meals.
Follow the dosage instructions provided on the product label or by your practitioner.
Aloe Vera:
Extract fresh Aloe Vera gel from an Aloe Vera leaf.
Apply the gel gently on the affected area of the neck and spine.
Massage the gel in circular motions for 5-10 minutes.
Leave it on for another 15-20 minutes, then rinse off with lukewarm water.
Repeat this process twice daily for best results.
Mridu Shodhana (Gentle Cleansing):
Perform gentle neck exercises and stretches recommended by a physiotherapist or yoga instructor.
Practice relaxation techniques such as deep breathing, meditation, or yoga to reduce stress and tension in the neck and spine.
Pacifying Herbs:
Consume herbal teas or decoctions made from pacifying herbs such as Ashwagandha, Shatavari, or Brahmi.
Brew the herbs in hot water and allow them to steep for 5-10 minutes.
Strain the mixture and drink the herbal tea warm.
You can also add honey or lemon for flavor, if desired.
Drink this herbal tea once or twice daily to support overall well-being and relaxation.
Please note:

It's essential to consult with an Ayurvedic practitioner or healthcare professional before starting any new herbal remedies, especially if you have any existing health conditions or are taking medications.
Follow the recommended dosage and usage instructions provided by your practitioner.
Maintain consistency with the remedies and combine them with other lifestyle modifications such as proper posture, regular exercise, and a balanced diet for optimal results.
Monitor your symptoms and consult with your healthcare provider if you experience any adverse reactions or worsening of symptoms.]"
Jaundice,['Wheatgrass juice'],"[Wash the fresh wheatgrass thoroughly under running water to remove any dirt or debris.
Cut the wheatgrass into small pieces to make it easier to blend.
If you prefer a smoother consistency, you can add 1/2 cup of water to the blender along with the wheatgrass.
Place the chopped wheatgrass (and water, if using) into a blender.
Blend the wheatgrass on high speed until it is finely pureed and becomes a smooth liquid. This may take a few minutes.
Once the wheatgrass is thoroughly blended, strain the juice using a fine-mesh sieve or cheesecloth to remove any remaining pulp or fibers.
Press down on the pulp with a spoon or spatula to extract as much juice as possible.
Transfer the strained wheatgrass juice to a glass or container.
You can drink the wheatgrass juice immediately for maximum freshness and nutritional benefits.
If you prefer, you can also refrigerate the juice for up to 24 hours and consume it within that time frame.
Note: It's important to consume wheatgrass juice fresh to retain its nutrients and benefits. It's recommended to start with small amounts of wheatgrass juice, especially if you're new to consuming it, and gradually increase the quantity as tolerated. Always consult with a healthcare professional before making significant changes to your diet, especially if you have a medical condition like jaundice.]"
Malaria,"['Vishamajwarantakaloha','Tinospora cordifolia (guduchi) and Cissampelos pareira (akanadi)']","[Vishamajwarantakaloha:
Vishamajwarantakaloha is an Ayurvedic medicine commonly used to treat various types of fever, including Malaria. It is available in tablet or powder form. However, it's crucial to consult an Ayurvedic practitioner for the correct dosage and usage instructions based on individual health conditions.
Tinospora cordifolia (Guduchi) and Cissampelos pareira (Akanadi):
These two herbs, Tinospora cordifolia (Guduchi) and Cissampelos pareira (Akanadi), are known for their antimalarial properties in Ayurveda.
Here's a simple method to prepare a herbal decoction using these herbs:
Take equal parts of dried Tinospora cordifolia stems and Cissampelos pareira leaves.
Crush or grind them into a coarse powder.
Boil 1-2 teaspoons of this herbal powder in 2 cups of water.
Allow it to simmer until the water reduces to half of its original volume.
Strain the decoction to remove any solid particles.
Drink this herbal decoction once or twice a day for relief from Malaria symptoms.
Note:

It's important to consult a qualified Ayurvedic practitioner or healthcare professional before using any herbal remedies, especially for serious health conditions like Malaria.
The dosage and method of preparation may vary based on individual health conditions, age, and other factors.
Additionally, these herbal remedies may be used as supportive measures alongside conventional medical treatment for Malaria.]"
Chicken pox,"['Haridra','Yashtimadhu','Guduchi','Manjishtha','Nimba']","[Take a clean mixing bowl and add all the powdered herbs: Haridra, Yashtimadhu, Guduchi, Manjishtha, and Nimba.
Mix the powders well using a spoon until they are thoroughly combined.
If desired, you can add honey to the mixture for taste and additional health benefits. Mix it well with the powdered herbs.
Once the mixture is ready, store it in an airtight container to maintain its freshness.
Consume one teaspoon of this herbal mixture daily with warm water or milk.
Continue taking this remedy until the symptoms of chickenpox subside.
Note: Before using any herbal remedy, it's advisable to consult with a healthcare professional, especially if you have any underlying health conditions or are taking medication. Additionally, individuals allergic to any of the mentioned ingredients should avoid using this remedy.]"
Dengue,"['Herbal tea made out of Fenugreek or coriander leaves','Papaya','Leaves of papaya']","[Herbal Tea made out of Fenugreek or Coriander Leaves:
Procedure:
a. Rinse the fenugreek or coriander leaves thoroughly under running water to remove any dirt or impurities.
b. Chop the leaves finely.
c. In a saucepan, bring 2 cups of water to a boil.
d. Add the chopped fenugreek or coriander leaves to the boiling water.
e. Let the leaves simmer in the water for about 5-10 minutes.
f. Remove the saucepan from heat and strain the tea to remove the leaves.
g. If desired, add honey for sweetness and flavor.
h. Pour the herbal tea into a cup and serve warm.
Papaya:
Procedure:
a. Choose a ripe papaya and wash it thoroughly under running water.
b. Cut the papaya in half lengthwise and scoop out the seeds with a spoon.
c. Cut the papaya flesh into small cubes or slices.
d. Serve the papaya pieces as a fruit snack or add them to fruit salads.
Leaves of Papaya:
Procedure:
a. Wash the papaya leaves thoroughly under running water.
b. Crush or grind the papaya leaves to extract the juice.
c. You can also blend the leaves with a little water and strain the mixture to extract the juice.
d. Consume 1-2 tablespoons of papaya leaf juice daily to help increase platelet count and alleviate symptoms of Dengue fever.]"
Typhoid,"['Triphala Churan','Use Cold Compresses','Apple Cider Vinegar','Basil','Garlic','Bananas','Cloves','Pomegranates','Buttermilk']","[Triphala Churan:
Mix 1 teaspoon of Triphala Churan in a glass of warm water.
Drink this solution on an empty stomach in the morning.
Use Cold Compresses:
Soak a clean cloth in cold water and wring out the excess water.
Place the cold, damp cloth on your forehead or on the back of your neck.
Leave it on for 5-10 minutes. Repeat as needed to reduce fever.
Apple Cider Vinegar:
Mix 1-2 tablespoons of raw, unfiltered apple cider vinegar in a glass of warm water.
Drink this solution 2-3 times a day to help reduce fever and improve digestion.
Basil:
Chew 4-5 fresh basil leaves on an empty stomach in the morning.
Alternatively, boil a handful of basil leaves in water to make basil tea. Strain and drink the tea.
Garlic:
Eat 2-3 cloves of raw garlic on an empty stomach daily.
You can also crush garlic cloves and mix them with honey to make a paste. Consume this paste daily.
Bananas:
Eat 1-2 ripe bananas daily. Bananas are easy to digest and can provide energy during illness.
Cloves:
Chew on 2-3 cloves daily. Cloves have antimicrobial properties that can help fight off infections.
Pomegranates:
Eat 1-2 fresh pomegranates daily or drink pomegranate juice.
Pomegranates are rich in antioxidants and can help boost immunity.
Buttermilk:
Drink a glass of plain buttermilk mixed with a pinch of salt and roasted cumin powder.
Buttermilk can help soothe the digestive system and provide relief from symptoms like diarrhea.]"
hepatitis A,"['mixture of bibhataki, haritaki and amlaki']","[Take equal parts of bibhataki, haritaki, and amlaki powders.
Mix the powders thoroughly in a clean, dry container.
Store the mixture in an airtight container in a cool, dry place away from direct sunlight.
To use, take 1-2 teaspoons of the mixture daily, preferably in the morning on an empty stomach.
You can mix the powder with warm water or honey for easier consumption, if desired.
Continue taking the mixture regularly as per your healthcare provider's recommendations.]"
Hepatitis B,['Bhumi Amla (Phyllanthus Niruri)'],"[Obtain Bhumi Amla:
Bhumi Amla, also known as Phyllanthus Niruri, is an herbaceous plant that is commonly used in Ayurvedic medicine. You can obtain fresh Bhumi Amla from herbal stores or online suppliers.
Preparation:
Wash the Bhumi Amla thoroughly under running water to remove any dirt or impurities.
Consumption:
Bhumi Amla can be consumed in various forms to help alleviate symptoms of Hepatitis B. Here are a few methods:a. Fresh Juice:
Crush a handful of fresh Bhumi Amla leaves and extract the juice using a juicer or blender.
Drink 1-2 tablespoons of this fresh Bhumi Amla juice daily on an empty stomach in the morning.
b. Powder:
Dry the washed Bhumi Amla leaves in the sun until they are completely dehydrated.
Grind the dried leaves into a fine powder using a grinder or mortar and pestle.
Mix 1-2 teaspoons of Bhumi Amla powder with warm water or honey and consume it twice daily.
c. Decoction:
Boil a handful of fresh Bhumi Amla leaves in water for about 10-15 minutes.
Strain the decoction and let it cool to room temperature.
Drink the Bhumi Amla decoction once daily for its medicinal benefits.
Duration:
Continue consuming Bhumi Amla regularly as directed by a healthcare professional or an Ayurvedic practitioner. It is advisable to consult a healthcare provider before starting any new herbal remedy, especially if you have a medical condition or are taking medication.
Monitoring:
Keep track of your symptoms and overall health while using Bhumi Amla as a remedy for Hepatitis B. If you experience any adverse reactions or worsening symptoms, discontinue use and consult a healthcare professional immediately.
Remember, Bhumi Amla is often used as a supportive remedy in conjunction with conventional medical treatments for Hepatitis B. It is essential to follow your healthcare provider's advice and treatment plan for managing Hepatitis B effectively.]"
Hepatitis C,"['turmeric', 'bhringaraj', 'bhumyalaki']","[Boil 1 cup of water in a small saucepan or pot.
Add 1 teaspoon each of turmeric powder, bhringaraj powder, and bhumyalaki powder to the boiling water.
Reduce the heat to low and let the mixture simmer for about 5-10 minutes.
Stir the mixture occasionally to ensure that the powders are well dissolved in the water.
After simmering, remove the saucepan from heat and let the mixture cool down to a warm temperature.
Once cooled, strain the mixture using a fine-mesh sieve or cheesecloth to remove any solid particles.
Pour the strained liquid into a cup or glass.
Drink this herbal remedy once daily for its potential beneficial effects on Hepatitis C.
Please note:

Before using any herbal remedies, it's advisable to consult with a healthcare professional, especially if you have any underlying health conditions or are taking medications.
This remedy should be used as a complementary approach and should not replace conventional medical treatment for Hepatitis C.
Some individuals may be allergic to certain herbs, so it's essential to be cautious and discontinue use if any adverse reactions occur.]"
Hepatitis D,['Kutki (Picrorhiza kurroa)'],"[Boil 1 cup of water in a small saucepan or pot.
Add 1 teaspoon each of turmeric powder, bhringaraj powder, and bhumyalaki powder to the boiling water.
Reduce the heat to low and let the mixture simmer for about 5-10 minutes.
Stir the mixture occasionally to ensure that the powders are well dissolved in the water.
After simmering, remove the saucepan from heat and let the mixture cool down to a warm temperature.
Once cooled, strain the mixture using a fine-mesh sieve or cheesecloth to remove any solid particles.
Pour the strained liquid into a cup or glass.
Drink this herbal remedy once daily for its potential beneficial effects on Hepatitis C.
Please note:

Before using any herbal remedies, it's advisable to consult with a healthcare professional, especially if you have any underlying health conditions or are taking medications.
This remedy should be used as a complementary approach and should not replace conventional medical treatment for Hepatitis C.
Some individuals may be allergic to certain herbs, so it's essential to be cautious and discontinue use if any adverse reactions occur.]"
Tuberculosis,"['ashwagandha',' turmeric' 'neem']","[Take a small mixing bowl or cup.
Add 1 teaspoon each of ashwagandha powder, turmeric powder, and neem leaves or neem powder into the bowl.
Mix the ingredients well until they are thoroughly combined.
Boil 1 cup of water in a saucepan or kettle.
Pour the boiling water into the mixing bowl containing the ashwagandha, turmeric, and neem mixture.
Stir the mixture well until the powders are completely dissolved in the water.
If desired, you can add a teaspoon of honey to sweeten the remedy and enhance its taste. Mix well.
Allow the mixture to cool down to a warm temperature that is comfortable to drink.
Once the remedy has cooled down, it is ready to be consumed.
Drink this herbal remedy once daily, preferably in the morning on an empty stomach, for its potential benefits in managing tuberculosis symptoms.
Please note: While natural remedies like this one may offer some benefits, they should not be used as a substitute for medical treatment prescribed by a qualified healthcare professional. Always consult with a doctor before trying any new remedy, especially if you have a serious medical condition like tuberculosis.]"
Common Cold,"['Ginger-Cinnamon -Turmeric Drink','Golden Milk (Turmeric Milk)','Ashwagandha Root Drink','Tulsi - Honey Mixture','Carom seeds - Jaggery Mixture']","[Ginger-Cinnamon-Turmeric Drink:
Procedure:
a. In a saucepan, add water, thinly sliced or grated ginger, and a cinnamon stick.
b. Bring the mixture to a boil and let it simmer for 10-15 minutes.
c. Add turmeric powder and stir well.
d. Strain the drink to remove the ginger and cinnamon.
e. Optionally, add honey to taste.
f. Serve the warm ginger-cinnamon-turmeric drink and enjoy.

Golden Milk (Turmeric Milk):
Procedure:
a. Heat the milk in a saucepan over medium heat.
b. Add turmeric powder to the milk and stir well.
c. Let the mixture simmer for 5-7 minutes.
d. Remove from heat and allow it to cool slightly.
e. Optionally, add honey or maple syrup for sweetness.
f. Stir well and pour the golden milk into a cup.
g. Drink the warm turmeric milk before bedtime.

Ashwagandha Root Drink:
Procedure:
a. Mix ashwagandha root powder with warm water in a cup.
b. Stir well until the powder is dissolved.
c. Optionally, add honey for sweetness and additional benefits.
d. Drink the ashwagandha root drink slowly.

Tulsi-Honey Mixture:
Procedure:
a. Wash the Tulsi leaves thoroughly and crush them slightly to release their juices.
b. Place the crushed Tulsi leaves in a small bowl.
c. Add honey to the Tulsi leaves and mix well.
d. Consume 1 tablespoon of the Tulsi-honey mixture daily to relieve cold symptoms.

Carom Seeds-Jaggery Mixture:
Procedure:
a. Crush the jaggery into small pieces.
b. Mix carom seeds powder with crushed jaggery.
c. Consume this mixture slowly to alleviate cough and cold symptoms.]"
Pneumonia,"['Amalaki','Kutaja','Bhringraj','Tila','Guduchi','Vasa']","[Take a clean and dry bowl.
Add all the powdered herbs - Amalaki, Kutaja, Bhringraj, Guduchi, and Vasa into the bowl.
Mix the powdered herbs thoroughly until well combined.
Heat the Tila oil in a small pan over low heat until it becomes warm (not too hot).
Once the oil is warm, slowly add the mixed powdered herbs into the warm oil.
Stir the mixture continuously while adding the powdered herbs to ensure even distribution.
Cook the mixture on low heat for 5-10 minutes, stirring frequently to prevent burning.
After 5-10 minutes, turn off the heat and let the mixture cool down to room temperature.
Once cooled, transfer the prepared remedy into a clean, airtight container for storage.
The remedy is now ready to use.
Usage:

Take 1-2 teaspoons of the prepared remedy orally, preferably on an empty stomach, twice daily.
Continue the regimen for a few days or as directed by a healthcare professional.]"
Dimorphic hemmorhoids(piles),['Kshara'],"[Preparation:
a. Take fresh Apamarga leaves or Kshara powder.
b. Crush or grind the Apamarga leaves into a fine paste. If using Kshara powder, you can directly use it without grinding.
c. Make a smooth paste by mixing the Apamarga paste or Kshara powder with lukewarm water. Ensure that the consistency is not too thick or too thin.
Procedure to Apply Kshara:

Clean the Affected Area:
a. Wash the affected area thoroughly with lukewarm water and a mild soap.
b. Pat the area dry with a clean, soft towel.
Apply Kshara Paste:
a. Take a small amount of prepared Kshara paste on your clean fingers or a cotton swab.
b. Gently apply the Kshara paste directly onto the affected hemorrhoids.
Leave it On:
a. Leave the Kshara paste on the hemorrhoids for about 10-15 minutes.
b. Allow the paste to dry naturally.
Rinse Off:
a. After 10-15 minutes, wash the area with lukewarm water to remove the Kshara paste.
b. Pat the area dry with a clean towel.
Repeat:
a. Repeat the application of Kshara paste once or twice a day, depending on the severity of the condition and as directed by an Ayurvedic practitioner.
b. Continue the application until the symptoms improve.
Note:

It's essential to consult with an Ayurvedic practitioner or healthcare professional before using Kshara or any other remedy for hemorrhoids.
Ensure that you are not allergic to any of the ingredients used in the preparation of Kshara.
Maintain proper hygiene and follow a healthy lifestyle to prevent the recurrence of hemorrhoids.]"
Varicose veins,['Triphala powder'],"[Preparation:
a. Boil 1 cup of water in a small saucepan or kettle.
b. Once the water comes to a boil, remove it from heat.
Mixing:
a. Place 1 tablespoon of Triphala powder in a cup or mug.
b. Pour the hot water over the Triphala powder.
Steeping:
a. Let the Triphala powder steep in the hot water for 5-10 minutes to allow its beneficial compounds to infuse into the water.
Straining:
a. After steeping, strain the Triphala-infused water using a fine-mesh sieve or a tea strainer to remove any solid particles.
Cooling:
a. Allow the Triphala water to cool down to a comfortable drinking temperature.
Consumption:
a. Drink the Triphala-infused water on an empty stomach in the morning, preferably before breakfast.
b. Repeat this daily for best results.
Additional Tips:
You can adjust the concentration of Triphala powder according to your preference, but it's recommended to start with a tablespoon for varicose veins.
Triphala powder can have a slightly bitter taste, so you may add a natural sweetener like honey or maple syrup to enhance the flavor if desired.
It's important to maintain a healthy lifestyle, including regular exercise and a balanced diet, to complement the use of Triphala powder for managing varicose veins.]"
Hypothyroidism,['Ashwagandha'],"[Gather Ingredients: Obtain high-quality Ashwagandha root or powder from a reputable source.
Preparation of Ashwagandha Decoction:
If using Ashwagandha root: Take 1-2 teaspoons of dried Ashwagandha root.
If using Ashwagandha powder: Take 1-2 teaspoons of Ashwagandha powder.
Add the Ashwagandha root or powder to a saucepan.
Pour 1-2 cups of water into the saucepan, depending on how strong you want the decoction to be.
Bring the water to a boil over medium heat.
Once boiling, reduce the heat to low and let the Ashwagandha simmer in the water for about 10-15 minutes.
Turn off the heat and allow the decoction to cool down slightly.
Strain and Serve:
Use a fine-mesh strainer or cheesecloth to strain the decoction, separating the liquid from the solids.
Pour the strained Ashwagandha decoction into a cup.
Consumption:
Drink the Ashwagandha decoction warm.
You can consume it once or twice a day, preferably on an empty stomach in the morning and/or before bedtime in the evening.
It's recommended to consult with a healthcare professional or an Ayurvedic practitioner to determine the appropriate dosage and frequency based on your individual health condition and needs.
Additional Tips:
You can add natural sweeteners like honey or stevia to enhance the taste, if desired.
Store any leftover Ashwagandha decoction in a clean, airtight container in the refrigerator for up to 2-3 days.]"
