disease,drug,description
Abortifacient,Madana,Used traditionally for inducing abortion.
nausea,Laung,Laung helps in relieving nausea and vomiting.
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
Antispasmodic,Madana,Employed for its antispasmodic properties.
Skin protective,Chandan,Utilized for its skin-protective properties.
Dysentery,Anar,Employed for its effects on dysentery.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
Galactogogue,Bilai kand,Employed to promote lactation.
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
arthritis,boswellia curcumin,Reduces joint inflammation and improves mobility.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
Antioxidant,Draksha,"Draksha exhibits antioxidant properties, helping to combat oxidative stress and promote overall health."
pimples ,Sharapunkha,"Sharapunkha aids in treating pimples and acne, reducing inflammation and promoting clear skin."
diarrhea,bilwa,Helps in controlling loose motions.
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
astringent,Prasarani,Employed for its astringent properties.
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
arthritis,nirugandi oil,Reduces joint pain and inflammation.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Ulcers,Bark,"Addressing ulcers, typically gastric or peptic ulcers."
urinary tract infection,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari are beneficial for urinary tract infections, helping to alleviate symptoms and promote healing."
diarrhea,bilwa,Helps in controlling loose motions.
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
Antispasmodic,Madana,Employed for its antispasmodic properties.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
Appetizer,Mulaka,Employed as an appetizer.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
migraine,Chandraprabha vati,No description available
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
diarrhea,Sharapunkha,"Sharapunkha aids in managing diarrhea, reducing frequency and severity of episodes."
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
gastritis,sankha vati,Soothes gastric irritation and improves digestion.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
Anthelmintic,Madana,Employed for expelling intestinal worms.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
urinary tract infection,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari are beneficial for urinary tract infections, helping to alleviate symptoms and promote healing."
gastritis,panchkol churna,Improves digestion and reduces acidity.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
gastritis,laxative,Alleviates constipation and discomfort.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
Skin protective,Chandan,Utilized for its skin-protective properties.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
gastritis,lavanaabhaskara churna,Soothes gastric irritation and improves digestion.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
constipation,Holarrhena antidysenterica (bark) 10% Plumbago ovata (husk) 20% Terminalia bellerica (fruits) 10% T. chebula (fruits) 15% Phyllanthus emblica (fruits) 15% Cassia angustifolia (leaves) 20% Glycyrrhiza glabra (roots) 10%,this combination is help you to relief from constipation
migraine,fenugreek,Helps in relieving migraine symptoms.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
migraine,Jyotishmati,No description available
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
Expectorant,Madana,Utilized for its expectorant properties.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
gastritis,trikatu churna,Reduces acidity and promotes healing of the stomach lining.
Antioxidant,Draksha,"Draksha exhibits antioxidant properties, helping to combat oxidative stress and promote overall health."
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
arthritis,nirugandi oil,Reduces joint pain and inflammation.
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
Emetic,Madana,Employed as an emetic agent.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
migraine,Mukta pishti,No description available
stimulant,Jaiphal,Utilized as a stimulant
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
Dysentery,Anar,Employed for its effects on dysentery.
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
migraine,Chandraprabha vati,No description available
Sedative,Pipli,Employed for its sedative effects.
Diuretic,Bilai kand,Used for its diuretic effects.
Sedative,Pipli,Employed for its sedative effects.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
piles,Prasarani,Utilized in traditional medicine for managing piles
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
Leprosy,Pipli,Used traditionally for leprosy treatment.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Headache,Mulaka,Used traditionally for headache relief.
Leucoderma,"Bakuchi, Kushthanashini",Used traditionally for managing leucoderma.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
arthritis,giloy satya,"Has anti-inflammatory properties, beneficial for arthritis."
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
Astringent,Anar,Used traditionally for its astringent effects.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
Abortifacient,Madana,Used traditionally for inducing abortion.
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
arthritis,ricinus communis,Reduces joint pain and inflammation.
Sedative,Pipli,Employed for its sedative effects.
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
pimples ,Sharapunkha,"Sharapunkha aids in treating pimples and acne, reducing inflammation and promoting clear skin."
diarrhea,bilwa,Helps in controlling loose motions.
diarrhea,lime juice,Helps balance stomach pH and combat pathogens.
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
Leucoderma,"Bakuchi, Kushthanashini",Used traditionally for managing leucoderma.
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
diarrhea,lime juice,Helps balance stomach pH and combat pathogens.
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
migraine,Mukta pishti,No description available
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
Biliousness,Bark,Addressing biliousness or excess bile secretion.
arthritis,ricinus communis,Reduces joint pain and inflammation.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
inflammation of spleen,Prasarani,mployed traditionally for inflammation of the spleen.
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
gastritis,sankha vati,Soothes gastric irritation and improves digestion.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
Headache,Mulaka,Used traditionally for headache relief.
gastritis,phadke, Provides relief from gastritis symptoms like bloating and discomfort.
migraine,ginger,Alleviates nausea and vomiting during migraines.
Headache,Mulaka,Used traditionally for headache relief.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
migraine,Chandraprabha vati,No description available
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
diarrhea,Sharapunkha,"Sharapunkha aids in managing diarrhea, reducing frequency and severity of episodes."
migraine,Mukta pishti,No description available
diuretic,Prasarani, Used for its diuretic effects.
dyspepsia,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari aid in the management of dyspepsia, relieving indigestion and discomfort."
boils,Sharapunkha,"Sharapunkha helps in treating boils, promoting healing and reducing inflammation."
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
migraine,drakshasava,Helps in managing migraine attacks.
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
Expectorant,Madana,Utilized for its expectorant properties.
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
Emetic,Madana,Employed as an emetic agent.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
anthelmintic,Kirata-tikta,"Kirata-tikta has anthelmintic properties, helping to expel intestinal worms and parasites."
arthritis,nirugandi oil,Reduces joint pain and inflammation.
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
Tonic,Anar,Utilized as a general tonic.
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
migraine,ashwagandha,Helps in managing stress-related migraines.
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
Sedative,Pipli,Employed for its sedative effects.
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
Diabetes,Gymnema sylvestre (leaves) 30% Tinospora cordifolia (stems) 15% Azadirachta indica (leaves) 10% Phyllanthus emblica (fruits) 20% Curcuma longa (roots) 10% Aegle marmelos (leaves) 15%,this combination is help you to relief from diabetes
Asthma,Kushta,Used traditionally for managing asthma symptoms.
constipation,Holarrhena antidysenterica (bark) 10% Plumbago ovata (husk) 20% Terminalia bellerica (fruits) 10% T. chebula (fruits) 15% Phyllanthus emblica (fruits) 15% Cassia angustifolia (leaves) 20% Glycyrrhiza glabra (roots) 10%,this combination is help you to relief from constipation
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
arthritis,nirugandi oil,Reduces joint pain and inflammation.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
gastritis,sankha vati,Soothes gastric irritation and improves digestion.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
gastritis,sankha vati,Soothes gastric irritation and improves digestion.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
stimulant,Jaiphal,Utilized as a stimulant
 demulcent,Draksha,"Draksha acts as a demulcent, soothing and protecting mucous membranes in the body."
diarrhea,ajamodarka,Aids in digestion and reduces diarrhea symptoms.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
gastritis,indukantham kashayam,Reduces gastritis symptoms and improves digestion.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
arthritis,ginger ,No description available
antiarthritic,Bahera,Bahera helps in reducing arthritis symptoms and inflammation.
Emetic,Madana,Employed as an emetic agent.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
migraine,Shankha prakshalana,No description available
antiulcer,"Karaskara, Chipita",Karaskara and Chipita help in reducing ulcer formation and promoting healing of gastric ulcers.
Haematinic,Pipli,Employed for its effects on blood formation.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
arthritis,ricinus communis,Reduces joint pain and inflammation.
diarrhea,Sharapunkha,"Sharapunkha aids in managing diarrhea, reducing frequency and severity of episodes."
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
urinary tract infection,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari are beneficial for urinary tract infections, helping to alleviate symptoms and promote healing."
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
gastritis,indukantham kashayam,Reduces gastritis symptoms and improves digestion.
Sedative,Pipli,Employed for its sedative effects.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
arthritis,nirugandi oil,Reduces joint pain and inflammation.
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
migraine,ginger,Alleviates nausea and vomiting during migraines.
Diuretic,Bilai kand,Used for its diuretic effects.
tonic,Jaiphal,Employed as a tonic
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
arthritis,ajwan water,Helps in reducing arthritis pain.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
Antiviral,Chandan,Employed traditionally as an antiviral agent.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
boils,Sharapunkha,"Sharapunkha helps in treating boils, promoting healing and reducing inflammation."
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
migraine,drakshasava,Helps in managing migraine attacks.
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
gastritis,laxative,Alleviates constipation and discomfort.
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
migraine,Shankha prakshalana,No description available
vermifuge,Jaiphal, Employed for expelling intestinal worms.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
migraine,Mudgaparni,No description available
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
anthelmintic,Bahera,"Bahera has anthelmintic properties, helping to expel intestinal worms and parasites."
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
Astringent,"Manjistha, Kala-meshika",Employed for its astringent properties.
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
diarrhea,haritaki,Aids in digestion and reduces diarrhea symptoms.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
piles,Prasarani,Utilized in traditional medicine for managing piles
Astringent,"Manjistha, Kala-meshika",Employed for its astringent properties.
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
Laxative,"Bakuchi, Kushthanashini",Used as a laxative agent.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
Antifungal,Chandan,Used traditionally as an antifungal agent.
gastritis,panchkol churna,Improves digestion and reduces acidity.
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
nausea,Laung,Laung helps in relieving nausea and vomiting.
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
Expectorant,Madana,Utilized for its expectorant properties.
anthelmintic,Bahera,"Bahera has anthelmintic properties, helping to expel intestinal worms and parasites."
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Laxative,"Bakuchi, Kushthanashini",Used as a laxative agent.
Antimitotic,Chandan,Used traditionally with purported antimitotic effects.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
